listing_id,date,num_reviews,reviewers
4612134,2026-04-01,6,"35160386,55322616,240582203,55961248,317004073,407077236"
4612134,2026-03-01,1,32738623
4612134,2026-02-01,4,"459016216,440628599,50153844,553801718"
4612134,2025-07-01,2,"121414306,10935351"
4612134,2025-09-01,1,474713645
4612134,2025-08-01,2,"116170045,1482766"
4612134,2025-11-01,4,"32399696,448853590,181490864,718894689"
4612134,2025-10-01,2,"11632429,974617"
4612134,2025-12-01,3,"54584678,31204330,113909226"
4612134,2026-01-01,5,"727067161,730778911,30046204,131161269,26581417"
29948276,2026-03-01,1,31106743
29948276,2026-02-01,1,123852030
29948276,2025-12-01,1,183344910
29948276,2026-01-01,1,451767606
31945339,2026-04-01,5,"498164890,272434040,489578709,341597519,22942787"
31945339,2026-03-01,3,"2498963,144259253,85332114"
31945339,2026-02-01,4,"32739138,201420943,175991984,81613221"
31945339,2026-01-01,2,"486458625,115523922"
31945339,2025-12-01,4,"717481959,425434675,278630791,114905308"
31945339,2025-11-01,4,"214109345,165752652,19078430,242646542"
31945339,2025-10-01,7,"111220550,63351046,718911768,63351046,111002041,41343702,22546943"
31945339,2025-09-01,4,"120655265,201300387,577801059,148378332"
31945339,2025-08-01,3,"659034180,13783092,13783092"
31945339,2025-07-01,3,"42062833,521605680,141512646"
31945339,2025-06-01,6,"32245160,315137932,563310207,570749535,124545396,268536912"
31919746,2026-01-01,1,576791086
31919746,2025-10-01,1,8528618
22288229,2026-04-01,1,59892177
22288229,2026-03-01,1,82616523
22288229,2026-02-01,3,"363068370,96087034,36919578"
22288229,2026-01-01,3,"386636375,127187391,13148683"
22288229,2025-12-01,3,"121835979,287703517,197446331"
22288229,2025-11-01,3,"450488859,450488859,64778725"
22288229,2025-10-01,3,"458562080,409213646,226028304"
22288229,2025-09-01,2,"511489266,50794328"
22288229,2025-08-01,1,3372770
22288229,2025-07-01,1,662707340
22288229,2025-06-01,3,"450655603,74641535,452005976"
17386994,2025-09-01,1,542816537
17386994,2025-06-01,1,560189149
21036353,2026-03-01,5,"6453648,43318845,421812166,452827767,55032239"
21036353,2026-01-01,2,"116087511,542792403"
21036353,2025-11-01,2,"474085546,706917858"
21036353,2025-07-01,1,121791362
21036353,2026-04-01,2,"739331073,737878430"
21036353,2026-02-01,3,"7555495,78628249,715940001"
21036353,2025-12-01,2,"166330943,139659465"
21036353,2025-10-01,1,702775441
31808487,2025-07-01,2,"506701620,291045397"
31808487,2025-08-01,2,"9470861,660095508"
29164118,2025-09-01,1,260275470
29164118,2025-08-01,2,"113787093,351471600"
10540525,2025-11-01,2,"30342296,138067165"
10540525,2026-03-01,3,"110361915,293112360,150877410"
10540525,2026-01-01,1,559006142
10540525,2025-12-01,2,"97081975,309134128"
10540525,2025-10-01,2,"267788229,390291825"
29896518,2026-02-01,1,52150601
29896518,2026-03-01,1,41153669
29896518,2025-12-01,1,6347703
29896518,2025-11-01,2,"41153669,665391318"
29896518,2025-10-01,1,143664073
31303484,2026-03-01,2,"494398759,189313096"
31303484,2026-02-01,1,450165089
31303484,2026-01-01,1,387612199
31303484,2025-12-01,2,"89615639,468450265"
31303484,2025-11-01,1,724769403
31303484,2025-10-01,1,404221416
31303484,2025-07-01,1,297438510
24582727,2026-01-01,1,115708644
20705232,2025-09-01,1,144702070
20705232,2025-06-01,1,36435855
20705232,2025-12-01,2,"7943751,21870495"
20705232,2026-02-01,1,174747785
29141796,2026-05-01,1,236658806
29141796,2026-03-01,1,494616460
29141796,2026-01-01,3,"24472104,371512941,188076328"
29141796,2025-11-01,5,"164374833,182464350,19670467,490137333,312264049"
29141796,2025-09-01,2,"4570851,23273456"
29141796,2025-07-01,2,"198543277,27528189"
29141796,2026-04-01,1,17968590
29141796,2026-02-01,2,"430326489,292152929"
29141796,2025-12-01,4,"217163334,336310743,186741397,66395355"
29141796,2025-10-01,3,"344767453,2595148,9376402"
29141796,2025-08-01,3,"353174700,212920174,276859839"
29141796,2025-06-01,5,"33649205,33649205,277281821,471914792,323855426"
31866373,2025-06-01,1,494410474
32560205,2025-08-01,1,102844806
32560205,2025-07-01,1,493091984
32560205,2026-02-01,1,388373795
24464203,2026-05-01,1,671817755
24464203,2026-03-01,1,652327839
24464203,2026-01-01,2,"158166245,84903162"
24464203,2025-11-01,2,"707046230,351759047"
24464203,2025-09-01,1,658864860
24464203,2025-07-01,1,95618819
24464203,2026-04-01,1,168582351
24464203,2025-12-01,3,"728694464,464295575,676516681"
24464203,2025-10-01,1,31260521
24464203,2025-08-01,1,243213192
24464203,2025-06-01,2,"459321761,189046683"
28008376,2025-09-01,1,371142835
33507290,2025-10-01,1,90718716
33507290,2025-08-01,1,83503779
33507290,2026-03-01,1,488607366
33507290,2026-01-01,1,12625308
22266018,2025-12-01,1,133559764
22266018,2025-10-01,1,187932729
22266018,2025-09-01,1,50794328
15923986,2026-03-01,4,"198889808,257193681,100257736,47275223"
15923986,2026-01-01,3,"8604451,407809958,739042931"
15923986,2025-11-01,1,102764
15923986,2025-09-01,1,409235790
15923986,2025-07-01,1,335073891
15923986,2026-04-01,2,"485310115,18793911"
15923986,2026-02-01,1,125564797
15923986,2025-12-01,4,"407822442,671401489,439295095,108451574"
15923986,2025-06-01,2,"420821773,455238012"
6208123,2025-08-01,1,57091003
6208123,2025-07-01,1,676006644
6208123,2025-10-01,1,57091003
6208123,2025-09-01,2,"248554938,10224676"
6208123,2025-12-01,2,"890934,63076375"
6208123,2025-11-01,3,"520052534,15514944,50718442"
6208123,2026-03-01,2,"10335158,30906292"
24592030,2026-01-01,2,"488196172,336134225"
24592030,2025-09-01,1,512310990
27245194,2025-10-01,1,402046807
